,program_id,project_id,major_id,program_name_th,program_type_name_th,major_name_th,project_name_th,min_score,max_score,min_score_ds,max_score_ds,est_min_score_mean,est_min_score_mean_sd,est_min_score_regression,receive_student_number,scores
4759,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4760,10280106703701A,0,B,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คณิตศาสตร์,0,99.0,99.75,98.5,99.75,98.5,98.5,98.5,5.0,{'gpax': 100}
4761,10280106703701A,0,C,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คอมพิวเตอร์,0,69.0,94.5,63.25,94.5,63.25,63.25,63.25,7.0,{'gpax': 100}
4762,10280106703701A,0,E,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,วิทยาศาสตร์ทั่วไป,0,94.0,97.75,93.75,97.75,93.75,93.75,93.75,5.0,{'gpax': 100}
4763,10280106703701A,0,H,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เกษตรศาสตร์,0,78.25,93.5,71.0,93.5,71.0,71.0,71.0,5.0,{'gpax': 100}
4764,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4765,10280106703701A,0,B,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คณิตศาสตร์,0,99.0,99.75,98.5,99.75,98.5,98.5,98.5,5.0,{'gpax': 100}
4766,10280106703701A,0,C,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คอมพิวเตอร์,0,69.0,94.5,63.25,94.5,63.25,63.25,63.25,7.0,{'gpax': 100}
4767,10280106703701A,0,E,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,วิทยาศาสตร์ทั่วไป,0,94.0,97.75,93.75,97.75,93.75,93.75,93.75,5.0,{'gpax': 100}
4768,10280106703701A,0,H,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เกษตรศาสตร์,0,78.25,93.5,71.0,93.5,71.0,71.0,71.0,5.0,{'gpax': 100}
4769,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4770,10280106703701A,0,B,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คณิตศาสตร์,0,99.0,99.75,98.5,99.75,98.5,98.5,98.5,5.0,{'gpax': 100}
4771,10280106703701A,0,C,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คอมพิวเตอร์,0,69.0,94.5,63.25,94.5,63.25,63.25,63.25,7.0,{'gpax': 100}
4772,10280106703701A,0,E,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,วิทยาศาสตร์ทั่วไป,0,94.0,97.75,93.75,97.75,93.75,93.75,93.75,5.0,{'gpax': 100}
4773,10280106703701A,0,H,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เกษตรศาสตร์,0,78.25,93.5,71.0,93.5,71.0,71.0,71.0,5.0,{'gpax': 100}
4774,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4775,10280106703701A,0,B,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คณิตศาสตร์,0,99.0,99.75,98.5,99.75,98.5,98.5,98.5,5.0,{'gpax': 100}
4776,10280106703701A,0,C,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คอมพิวเตอร์,0,69.0,94.5,63.25,94.5,63.25,63.25,63.25,7.0,{'gpax': 100}
